# Simulated random data file for batch processing
# timestamp: 2022-04-20 15:20:11
# NBB
# ------------------------

"var_x","var_y"
0.572588146431372,0.801609646412544
0.72401735256426,0.350989095808472
0.577272623078898,0.791874193877447
NA,0.267015517340042
0.647707838157658,0.950135396036785
0.738570386020001,0.753335956484079
NA,0.777830768784042
NA,NA
0.457007155346218,0.46769257215783
0.475386292557232,0.34779227670515
0.581347781117074,0.507614778412972
0.413001812179573,0.96654967230279
0.634335423528682,0.602630537294317
0.351141455350444,0.342312915541697
0.134721338516101,0.619043699989561
0.676829648378771,NA
0.588610374019481,0.338649036886636
0.330288904253393,0.2588990816148
0.32659292552853,NA
0.543516421224922,0.600248736038338
0.588524715683889,0.36956708721118
0.369770428456832,0.529252309235744
0.364574652747251,0.935482196044177
0.684972053510137,0.742652540910058
0.358891980315093,0.964582134911325
0.658592446474358,0.523631893040147
0.154711786773987,0.59565276093781
