# Simulated random data file for batch processing
# timestamp: 2022-04-22 01:03:51
# NBB
# ------------------------

"var_x","var_y"
NA,NA
0.622487318236381,0.615841413789894
0.0538051786716096,0.87578613567166
0.434699842357077,0.621899432560895
NA,0.700228973932099
0.0530210079741664,0.294596457155421
0.589189863181673,NA
0.477515230304562,0.637394566438161
0.0952866604202427,0.713936940417625
NA,0.592484903929289
0.311253732070327,0.619405303848907
0.0948116151848808,0.31839084479725
0.25634447025368,NA
0.0354809362906963,0.990411248058081
0.0644773317617364,0.818204307695851
0.474531213403679,NA
0.120626056857873,0.663966643274762
0.330308660923038,0.957166316453367
0.464629785215948,0.323850279732142
0.25952601491008,0.650738588592503
0.581199415319134,0.542862235393841
0.681251598754898,0.472025701601524
NA,0.567219586926512
NA,0.422952162625734
0.349931286997162,0.584460434271023
NA,0.516996178484987
0.0499687267583795,0.577943577023689
0.584218424221035,0.61203096061945
0.437187062459998,NA
0.0189688489772379,0.326287477859296
0.733097651274875,0.589710012543947
0.0804532264592126,NA
